"dataset_id","n_abnj","n_all"
"1796755f-18ea-44bf-98d6-8b76c991004b",0,1
"179bb52b-50bb-420d-bf55-6d5e22d47db8",169,278
"179bf430-816f-4ea4-bb0e-f57505fac607",0,7062
"17a7d690-e05d-4054-bb61-77bb3f26ba0a",0,1422
"17c4fac0-95ef-4ada-bfb1-e1cb22126928",0,270
"17c7f44a-dd02-4428-87f2-554d871e7c86",720,1015
"17cb6ba1-1b99-4715-9d8f-1a435537928a",0,463
"17ce69d0-2504-4ae3-bc87-16b096863f51",20575,45697
"17e27612-3f11-41b1-8080-bbbc886145e4",0,3944
"17f41026-fe23-41fb-8662-d89664dadd25",0,249
"1820a42f-39b2-45e5-a935-6edcb6891eec",0,2000
"185c7efa-5589-40a8-9218-5ac662cbdd2b",55,215
"185ec168-d273-4888-964a-2e9bdd5136e0",283,1239
"185fe84e-91f7-4f2c-b2ac-115116c7111e",0,123206
"1899b433-f6e2-40e4-827c-94d6f59785d3",0,1966
"18b9f6fd-0cca-4938-a6fa-d6b375dfa716",0,627
"18ca2c17-c652-4cc8-83e3-1345be74f265",0,2072
"18ce9611-da1f-440c-bf66-1509d0ca4cf7",0,90
"18d85de0-1bde-4879-89a1-6e297645f2b7",0,75
"18e09669-93f6-47b9-b50c-60d1f028442f",62,1819
"18e4fa5b-5f92-4e09-957b-b242003287e9",0,27546
"18f1a132-414d-4d8d-be02-a5913154c6e4",7,18
"18f1f267-2d78-497f-b51a-6960171d8243",0,101
"19040241-0cf6-4837-ac9c-c22afc30c15f",0,555
"190f3394-a704-413b-a430-26b91a555dcb",0,1386
"19119a0f-92f3-4662-85c5-30f8472067cf",126,23562
"19119c11-7cea-413b-8df1-ebe03a88fbc2",0,1729
"19201a58-d4e4-42be-8384-676b6522443d",44,150
"19311ebc-25a9-48fd-9146-f8bd4fceb3ed",21,113
"1931f1a3-0b4c-4a72-9721-78f9270455f7",86,4808
"196349b0-4015-44c1-bab4-e7f0ef513275",0,506
"196c2586-901a-4513-a4ea-237d2e36618d",0,26
"19731138-8d42-44df-a06a-d99919ffb620",0,6873
"197fcb96-e08b-4102-bec1-d179185a86d7",12,66
"199ecfcf-03ba-44b6-9cea-f7d4030dac75",7,13
"19abb100-fb94-4295-ab17-bb3e58674cf3",0,43298
"19ae0b90-d0ef-426d-9918-89160ca2abaa",0,492
"19cdf7bc-378b-439a-bf5e-b4c96b761c72",0,4
"19eb4e99-55bc-41a1-a6aa-42a16838c230",0,215
"19eca4c8-ace3-4bd6-b059-9051cb732d40",0,525
"1a4daaac-e207-4648-804e-aaf5efa7a0a5",0,577
"1a502495-ab12-4570-9ade-3579c5111ead",0,1905
"1a9a4e57-5a9d-4dfa-af84-900010f64b79",0,210
"1aad17a0-94b9-4f32-bc82-796eb9dea880",0,49
"1ab6f729-8cc8-4400-8a3a-080a08f42d3d",0,198698
"1ac71f22-591e-4b4a-b5ff-f5d183eb9c5b",936,936
"1ad423c7-dba3-426f-b814-f0808413a708",30681,30681
"1b351842-59b5-402a-bc6d-87bd3d60da0b",0,62
"1b3823ad-5fcb-4ac2-be52-fb9ee3658e3f",0,394
"1b5c74ae-fdc2-4e98-804a-196ad3975100",343,876
"1b78a368-cba0-4863-85fb-652f0f181c5e",0,66620
"1b914a9f-f7fe-4363-af3e-261b67c0bf33",0,502
"1b92d97a-3a1d-4bbf-9304-c56ba34ea041",0,4207
"1bb201eb-9ffa-41c8-83ae-3e8b9a315b04",0,7012
"1bb6fdae-3476-436c-a138-1f080a6b4ccd",0,12
"1bc07c92-1c04-404e-b7f4-ff497a97dba7",0,17
"1bc133cb-1063-4e07-b3dc-1ad71303a9d1",0,29
"1bc1fe8f-4485-4342-92a0-b87d61b7e826",0,16
"1bcef367-cb04-4cf6-ab1e-eab1c2b0172a",6190,28508
"1be892ec-08a1-4a28-85c5-02b8d1556388",195,362
"1c0f0c8c-d22c-4710-bcec-07e1fbe87805",0,450
"1c1cedb7-19b9-4808-91c4-5e3deffa5b72",0,1046
"1c4ea934-16af-4be2-a327-a3c2844cd3a1",0,3
"1c558fbd-24a5-4426-b304-e42c2e3d4a47",0,2728
"1cc1b299-8fc3-4d2b-bcff-047436ef037b",0,1
"1ccabdb8-c04e-4ef0-a796-41eeb89eabd4",0,319
"1cd60252-a549-4e69-b5c0-95fa0171eabb",673,4054
"1cdd5450-4c53-4f82-855e-3b4e4c3b4a02",0,141
"1ceba31c-4a91-496f-a10d-9463efd53221",0,11756
"1cf3ed54-598a-4f16-a326-01960e4b79a0",299,4152
"1cf6168c-bc76-48b8-af1f-e8237c897e3d",0,939
"1cfc4d23-9fcd-42b2-95bf-9c4ee9bc50f6",4,2494
"1d063315-5a15-4d9d-9a2f-b62ba744198b",0,4904
"1d16de27-72da-4d05-869a-a4c3f3301dea",0,108
"1d182a20-da6a-4224-a38d-706b44359e47",0,12
"1d198847-58cf-4350-9d2c-8c8f611083c4",0,3439
"1d2b7591-770d-4e86-8e73-911f98d6e379",0,1167
"1d3d2e69-3256-44c4-af75-ca6491f795c6",0,25839
"1d3d341f-d9e9-4a30-8cce-91d23910e9db",0,869
"1d458cd2-e858-4770-920c-bd4d965f941a",26,3380
"1d468f1f-c2b7-4012-8d5b-8e903c200b76",0,11250
"1d480acd-2a78-403c-9b7d-814c68d4bbdd",0,35
"1d67376b-e6be-4aeb-9c69-707d27cc1261",0,21
"1d7b68ff-72ec-4a3a-b8e5-0e369c9696a3",0,850
"1d8163c2-52e2-4c35-ba5e-f2887d21783e",0,127
"1d81a51c-66fc-46bf-a7c3-311d655763d6",0,250
"1d91eb72-9b19-46b7-b57a-9a946a02fee9",66,109
"1d92117d-2b4b-4b6f-9602-6e4c7c0bebc5",0,1196
"1d94f371-a3e5-4e9a-b48c-f26e864c7621",0,7
"1d9a302f-7f63-428e-a27d-e2fdb6c7fd16",0,2
"1da27b9b-4300-4767-b41a-cc04d1bcf612",0,2126
"1db4978f-6b8e-4873-8ab4-63702a8359d0",0,8
"1db8529d-d3b2-41f0-8372-18e99366e7f4",0,3529
"1dca5f31-812a-491e-abb4-7b2ac1d1fa24",0,550
"1ddd1411-59fc-4fcb-8d31-4f3248feecf1",1839,1839
"1e322446-2db5-42ed-87a2-9cc7348ad4b4",0,426
"1e6fb30d-b781-4e40-906d-966119e1aeae",0,2068
"1e764c93-ace6-4fe0-874b-4bdcd9e0251f",28,80194
"1e8da69d-77cd-43aa-b668-58fbf6766581",7,8
"1ea34638-560e-4eac-9d14-25a095771f55",0,3721
"1ea50009-5087-43ac-88c7-f9acccee539d",0,2290
"1eaa77a8-e89e-48ca-8cae-b8a5ffa11969",0,4658
"1ebbe2a8-9a22-464f-8abe-043d3339bb87",0,1141
"1ed1afd0-221b-4e75-91a0-6447e44b0d2e",28,202
"1ed6515b-6587-448b-8987-1646acbb4641",0,3333
"1ef65960-4f58-426c-870c-5f8767cf7915",0,85
"1f33ac1f-ee0c-408a-a435-eb667e3199dc",24,945
"1f527b5f-e3aa-425d-8779-d98310e2b1db",0,282
"1f59030f-f116-4c34-915e-1882d819cda3",48863,92851
"1f5c0d6a-4018-470d-b6ca-53761e7a98cc",0,172
"1f6fa8a5-9285-4257-87b0-5ff078a8acf9",0,19
"1f7f1e21-e96c-4ede-bdd6-0b5e79959eeb",0,1210
"1f80810b-54d9-4b5e-bd63-3fb9736c2f46",0,2633
"1f87ff41-300a-4137-ab2f-fe1d239a910d",0,2037
"1fa7f236-2eae-4281-84ac-b25bd676ead7",105,105
"1fc6afc6-f841-40d4-86d7-e3b2d0962b83",14,2000
"1fe0bc91-a326-4fc6-a7c3-4b0cdd2fd9b2",0,20881
"1febfcdd-3e1b-46db-b73d-1bbe81ce22a6",0,9875
"1ff8f53b-1a0e-4346-8f51-447a824adacd",0,204
"2022bab1-37b3-4c15-8de8-ba8d68c3da71",0,35979
"202a9898-5e81-4f5f-805c-d13cd210d40c",15,1968
"202db648-bc45-4e19-93ce-3633113b6c2b",182,182
"207d52a8-6965-4eb1-901f-0d555262344b",0,10
"208bbf73-5dac-4d20-a017-5fc7d18a5b48",0,353280
"208d760e-7a45-44ce-889e-f2d8b144858a",0,32776
"208fd29c-f159-425c-9bf4-dbcaa7b6d74c",0,822
"20b7e66f-c7ee-4904-8a4a-308abda5feaa",0,17
"20bc33c9-c597-4a08-828a-62e82e8fa653",480,14490
"20e77c1c-6cbe-43b0-844b-4443fd735853",0,8182
"2101d4c5-c20b-49c0-a44b-3d6484c4c891",19,118515
"2102c55e-588b-4c35-96c7-822fd50c3437",0,29691
"21173daf-6667-484a-b685-00d0ba72163a",0,588
"212545b5-65fb-4834-aea4-05207d696a7c",0,3050
"213c5b91-3677-4595-a957-f6577ed48cc8",0,2
"214229dc-8321-488b-a57f-4393ea538b66",86,114
"215c984f-b790-49bb-ac65-6eaadcfee536",0,41
"217bc2a9-4d9a-4064-bab4-457121c68145",15,6014
"21d68c64-98ed-4d25-9b8f-400136f25bc1",0,1003
"21db04d1-5343-4f3a-8c29-6ec831016a31",0,2000
