"id","title","records","institute","oceanexpert_id","typeid","type"
"a9848680-b804-455a-b6b5-2c5c1d0dbcde","Historical distribution of whales shown by logbook records 1785-1913",15269,"Duke University",19393,1,"Academic"
"a9848680-b804-455a-b6b5-2c5c1d0dbcde","Historical distribution of whales shown by logbook records 1785-1913",15269,"WCS Canada",NA,NA,NA
"a9848680-b804-455a-b6b5-2c5c1d0dbcde","Historical distribution of whales shown by logbook records 1785-1913",15269,"Marine Geospatial Ecology Lab, Duke University",NA,NA,NA
"f4775120-afcc-4350-9e03-649c978f6070","SOMBASE/TOTAL - Bioconstructors",15217,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental"
"f4775120-afcc-4350-9e03-649c978f6070","SOMBASE/TOTAL - Bioconstructors",15217,"Australia National University; Research School of Earth Sciences",NA,NA,NA
"f4775120-afcc-4350-9e03-649c978f6070","SOMBASE/TOTAL - Bioconstructors",15217,"Natural Environment Research Council; British Antarctic Survey (BAS)",NA,NA,NA
"90b41b79-a5a2-4d6f-80d5-fbf2fa3a682b","BIOMASS 1980-1985",15080,"Duke University",19393,1,"Academic"
"90b41b79-a5a2-4d6f-80d5-fbf2fa3a682b","BIOMASS 1980-1985",15080,"Marine Geospatial Ecology Lab, Duke University",NA,NA,NA
"90b41b79-a5a2-4d6f-80d5-fbf2fa3a682b","BIOMASS 1980-1985",15080,"Helen  Campbell",NA,NA,NA
"364e5a12-8028-4329-be50-fc548c2d6ce4","Biological observations from the Discovery Investigations 1925-1952",14519,"National Institute for Water & Atmospheric Research",7489,2,"Research"
"364e5a12-8028-4329-be50-fc548c2d6ce4","Biological observations from the Discovery Investigations 1925-1952",14519,"NIWA",NA,NA,NA
"b1363fbb-afec-4dc7-85b6-39b8a5ebb55c","Personal library collection of Martin Angel of published and unpublished Halocyprid (Ostracoda) occurrences",14271,"The Natural History Museum",8603,3,"Government"
"b1363fbb-afec-4dc7-85b6-39b8a5ebb55c","Personal library collection of Martin Angel of published and unpublished Halocyprid (Ostracoda) occurrences",14271,"Natural History Museum (NHM)",NA,NA,NA
"9a37fc55-1fc8-4c19-b649-10d86c03b7bb","PIROP Northwest Atlantic 1965-1992",13044,"Duke University",19393,1,"Academic"
"9a37fc55-1fc8-4c19-b649-10d86c03b7bb","PIROP Northwest Atlantic 1965-1992",13044,"Duke University Marine Laboratory",NA,NA,NA
